Portfolio,Symbol,Holding
A,WFC,142.0
A,ETN,30.0
A,AMZN,46.0
A,QCOM,64.0
A,LMT,21.0
A,KO,164.0
A,JNJ,71.0
A,ISRG,19.0
A,XOM,94.0
A,MDT,125.0
A,DHR,44.0
A,PLD,96.0
A,BA,60.0
A,PG,62.0
A,MRK,102.0
A,AMD,81.0
A,BX,58.0
A,PM,83.0
A,SCHW,136.0
A,VZ,251.0
A,COP,100.0
A,ADI,47.0
A,BAC,226.0
A,NOW,10.0
A,TMO,19.0
A,CVX,69.0
A,ANET,88.0
A,NVDA,70.0
A,GE,59.0
A,GILD,111.0
A,MU,113.0
A,CMCSA,269.0
A,DIS,91.0
B,AXP,34.0
B,HON,45.0
B,META,17.0
B,NFLX,12.0
B,PGR,42.0
B,LLY,13.0
B,JPM,42.0
B,VRTX,25.0
B,TJX,84.0
B,EQIX,11.0
B,AAPL,42.0
B,FI,49.0
B,DE,24.0
B,SBUX,110.0
B,GOOGL,53.0
B,T,446.0
B,ABT,89.0
B,BMY,179.0
B,MS,81.0
B,CRM,31.0
B,PFE,380.0
B,SPGI,21.0
B,BRK-B,23.0
B,ADBE,24.0
B,ACN,29.0
B,AMGN,39.0
B,LIN,25.0
B,V,33.0
B,WMT,112.0
B,AMAT,60.0
B,CAT,28.0
B,RTX,88.0
B,UNP,44.0
C,IBM,46.0
C,TXN,54.0
C,ADP,35.0
C,GOOG,53.0
C,ORCL,61.0
C,BSX,112.0
C,UNH,20.0
C,TMUS,47.0
C,SYK,28.0
C,GS,18.0
C,UBER,157.0
C,AVGO,44.0
C,MMC,48.0
C,CSCO,172.0
C,PLTR,127.0
C,MA,20.0
C,C,143.0
C,BKNG,3.0
C,MCD,35.0
C,LOW,41.0
C,HD,26.0
C,INTU,17.0
C,LRCX,135.0
C,KKR,67.0
C,COST,12.0
C,NEE,141.0
C,ABBV,56.0
C,TSLA,25.0
C,MSFT,24.0
C,PEP,68.0
C,CB,38.0
C,PANW,56.0
C,BLK,10.0
